assertion	hate speech scores
Gleichstellung der Geschlechter ist eine Überbevorteilung von Frauen	0,488888889
Gleichstellung ist dann erreicht, wenn Männer und Frauen das Selbe verdienen.	-0,4
Gleichstellung ist gerecht.	-0,422222222
Gleichstellung muss durch politische Mittel erzwungen werden, z.B. Frauenquote, Frauenbeauftragte etc.	-0,244444444
Gleichstellung und "Gleichberechtigung" sind verschiedene Sachen. Gleichberechtigung ist notwendig und erwünscht. Gleichstellung (Die erzwungene Gleichmachung) ist dagegen unerwünscht.	-0,2
Gleichtstellung ist quängeln nach Status.	0,555555556
Gleichwertigkeit ist nochmal was anderes (und viel wichtiger!) als Gleichstellung	-0,533333333
Hauptproblem für eine Gleichbehandlung ist die besondere Rolle, die der Frau in der Zeugung und Erziehung von Kindern zukommt.	-0,2
Hausfrauen begehen aktiv Verrat am eigenen Geschlecht.	0,711111111
Hausfrauen können keine Feministinnen sein.	0,377777778
Häuslicher (psychischer) Missbrauch wird auch von Frauen verübt.	0
Hinter jedem starkem Mann steht eine starke Frau. aber nicht davor.	0,577777778
Hübsche Frauen brauchen sich im Leben nicht anstrengen. Deswegen gibt es nur hässliche bratzen in MINT Fächern.	0,688888889
Im Anbetracht von Jahrhunderten der Diskriminierung ist es nicht genug jetzt Gleichheit herzustellen, es muss dafür gesorgt werden dass alle Geschlechter die gleichen Startvorraussetzungen haben	-0,511111111
Im Falle eines Sorgerechtstreites sollten Mütter immer oder eher das alleinige Recht haben.	0,022222222
Im kommenden Bürgerkrieg werden Verräter als erstes vernichtet. Genderisten und Feministen stehen ganz oben auf der Liste.	0,822222222
In der Erziehung sollten Vater und Mutter bzw. Mann und Frau gleich viel Einfluss nehmen.	-0,511111111
In der Politik werden die Belange von Männern und Jungen im speziellen kaum beachtet	-0,111111111
In der Unterschicht herrscht eine höhere Rollenidentifikation beider Geschlechter.	0,066666667
In der Wirtschaft braucht es zumindest eine Zeit lang eine Frauenquote.	-0,222222222
In Texten müssen alle Personen auch immer mit *innen genannt werden um Frauen nicht zu diskriminieren	-0,177777778
Jeder Mensch, egal welches Geschlecht, sollte die gleichen Möglichkeiten in allen Lebenslagen haben.	-0,644444444
Jeder, der für die Gleichberechtigung von Frauen und Männern ist, ist Feminist (per Definition).	0,044444444
Jungs brauchen Männer als Vorbilder und Frauen können dies in keinem Fall ersetzen. Kinder, die ohne eine Vater-Rolle aufwachsen haben oft Probleme/sind schlechter sozial angepasst	0,222222222
Karrierefrauen sind Zicken.	0,377777778
Keine Frauen im Bundestag.	0,666666667
Kinder gehören immer zur Mutter.	0,155555556
Kinder sollen Beta-Blockers bekommen damit sie sich entscheiden können, ob sie männlich oder weiblich sein möchten.	-0,133333333
Kindererziehung liegt Frauen einfach mehr.	0,133333333
Kritk an Gleichstellungspolitik entsteht ausschließlich oder überwiegend aus Frauenhass.	-0,044444444
Kulturelle Faktoren erklären den Großteil der Verhaltensunterschiede zwischen Frau und Mann.	-0,6
Künstlich geschaffene geschlechtsneutrale Endungen und Berufsbezeichnungen (zB. Bäcker_in, Postbot_x, PolizistIn) sind überflüssig. Legislative Eingriffe stehen der natürlichen Entwirklung der Sprache entgegen.	-0,133333333
Legalisierung von Prostitution erniedrigt Frauen.	-0,222222222
Leistung muss geschlechtsneutral betrachtet werden, Frauen dürfen keinen Vorteil, aber auch kein Nachteil auf Grund des Geschlechts haben.	-0,622222222
Leistung und Eignung vor Quotenregelung.	-0,755555556
Mädchen mögen lieber Pink, Jungen mögen lieber Blau.	0,355555556
Mädchen spielen lieber mit Puppen, Jungen spielen lieber mit Autos.	0,244444444
Männer die sich gegen Feminismus als solchen aussprechen haben Sorge, ihre "gottgegebene" Herrschaft über die Frau zu verlieren.	-0,222222222
Männer dürfen auch Gefühle zeigen.	-0,577777778
Männer erhalten seltener das Sorgerecht, egal ob sie besser geeignet wären.	-0,4
Männer erkennen die Existenz eines systemischen Patriarchats an.	-0,111111111
Männer fühlen sich von Frauen in Führungspositionen bedroht.	-0,155555556
Männer geben sich bei Beziehungen nicht so viel Mühe wie Frauen.	-0,133333333
Männer haben aufgrund von toxischer Männlichkeit(sbilder) nicht die Möglichkeit eine eigene Geschlechterrolle anzunehmen	-0,2
Männer haben durchschnittlich höhere Einkommen weil sie oft unbequemere aber besser bezahlte Jobs annehmen als Frauen.	0,177777778
Männer können sich im Berufsleben besser durchsetzen.	-0,044444444
Männer müssen Fußball gut finden.	-0,4
Männer sind das Problem der Ungleichbehandlung.	-0,311111111
Männer sind extremer (andere Normalverteilung), was dazu führt, dass sie sowohl in der Spitze als auch am Boden der Gesellschaft überrepräsentiert sind.	0,044444444
Männer sind für Führungrollen grundsätzlich besser geeignet.	0,2
Männer sind im Allgemeinen stärker als Frauen	0,311111111
Männer sind im Bereich Erziehung an der falschen Stelle.	-0,088888889
Männer sind im Durchschnitt egoistischer, weniger empathisch und moralisch schlechtere Menschen als Frauen.	-0,4
Männer sind im Schnitt biologisch intelligenter.	0,688888889
Männer sind in der Regel intelligenter als Frauen.	0,777777778
Männer sind in Führungspositionen immer erfolgreicher als Frauen.	0,555555556
Männer sind intelligenter als Frauen.	0,8
Männer sind schlauer als Frauen.	0,622222222
Männer sind Schweine.	-0,177777778
Männer sind selten gute Feministen (auch wenn sie sich dafür halten) und sollten aus den Debatten herausgehalten werden.	-0,177777778
Männer sind von Natur aus schon anders als Frauen.	0,044444444
Männer sollten die gleichen Chancen haben, das Sorgerecht für Kinder im Scheidungsfall zu erhalten, wie Frauen.	-0,4
Männer tendieren von ihren persönlichen Interessen her eher zu Naturwissenschaft und Technik als Frauen.	-0,377777778
Männer und Frauen sind absolut gleich.	-0,533333333
Männer und Frauen sind bereits gleichberechtigt.	0
Männer und Frauen sind gleich intelligent.	-0,844444444
Männer und Frauen sind in einer traditionellen Familie am glücklichsten.	-0,088888889
Männer und Frauen sind verschieden.	-0,488888889
Männer und Frauen sind wortwörtlich gleich ("Wir sind alles nur Menschen!")	-0,466666667
Männer und Frauen sind, bis auf äußere Merkmale, gleich.	-0,222222222
Männer und Frauen sollten bei gleicher Qualifikation, Erfahrung und Eignung das gleiche Einkommen haben.	-0,755555556
Männer und Frauen sollten im Job gleich behandelt werden.	-0,6
Männer unter sich sind produktiver/geordneter. Beispiel das Inselexperiment, wo strikt nach Männern/Frauen getrennt wurde.	0,244444444
Männer verdienen mehr, weil sie besser arbeiten.	0,6
Männer verdienen oft besser, dafür haben Frauen es in Beziehungen und im Sozialleben einfacher.	0,088888889
Männer verdienen oft gerechterweise mehr, da sie in Gehaltsverhandlungen aggressiver sind.	0,155555556
Männer werden bei bestimmten Bereichen, wie Militätdienst oder Sorgerecht benachteiligt.	-0,311111111
Männer werden im Bildungssystem Schule nicht benachteiligt.	-0,266666667
Männer, die Emotionen zeigen, sind Schwächlinge.	-0,088888889
Männer, die sich um Kinder und Haushalt kümmern, sind Weicheier.	-0,066666667
Männerhass ist nicht mal illegitim.	0
Maskulinismus, GamerGate und ähnliche Strömungen sind oft kaum verhohlener Frauenhass.	0,044444444
Maßnahmen zur Gleichstellung sind unnötig.	0,155555556
Masturbation und Erwähnen der Intimbereiche ist etwas, was die Gesellschaft nur mit Jungs in Verbindung bringt und nicht mit Mädchen, sodass letztere ohne dieses Bewusstsein aufwachsen und im späteren Leben "ins kalte Wasser geschmissen werden".	0
Men's rights Typen sollten alle in den Knast.	-0,177777778
Menschen sollen nicht aufgrund ihrer Genitalien anders behandelt werden	-0,622222222
Moderner Femismus ist gekennzeichnet durch Hass gegen Männer.	0,088888889
Moderner Femismus wir immer mehr zum Männerhass.	0
Muslime behandeln Frauen schlecht.	-0,133333333
Mütter sollten zu Hause bleiben und sich um das Kind kümmern.	0,6
Mutter zu sein sollte für Frauen viel wichtiger sein, als Karriere zu machen, weil Kinder für das Frauenglück enorm wichtig sind.	0,422222222
Nach einer Trennung gehören die Kinder zur Mutter.	-0,244444444
Nicht alle Männer sind technisch begabt.	-0,466666667
Patchwork-Familien und Single-Mütter sind sub-optimal im Vergleich zu normalen, stabilen Ehen.	0,088888889
Personen die sich für den Feminismus einsetzen sollte man vergasen.	0,844444444
Positive Diskriminierung ist notwendig / gut.	0,244444444
Sexismus ist allgegenwärtig.	-0,4
Sexismus und Antifeminismus werden ausschließlich von Männern vertreten	-0,133333333
Sexismus wird als Mittel der Machterhaltung eingesetzt.	-0,111111111
Solange ein Macho in einem Führunsteam ist, haben Frauen es schwer.	-0,333333333
Spezielle Geschlechterquoten sind unnötig und kontraproduktiv.	0,111111111
Sprachliche Gleichstellung ist ein unnötiger Aufwand, da diese keine Auswirkung auf reale Gleichstellung hat.	-0,444444444
Statistisch können Frauen mit Stresssituationen schlechter umgehen als Männer.	0,355555556
Studiengänge mit einem Frauenüberschuss wie Psychologie sollten eine Männerquote erhalten.	-0,244444444
Technische Affinität sollte nicht nur Männern zugeschrieben werden.	-0,311111111
Titel, Amtsbezeichnungen und feste Begriffe, z.B. Vaterland, Dienstgrade oder Kanzler, sollen nicht an Geschlechter angepasst werden.	-0,177777778
Traditionell männliche und weibliche Eigenschaften sind gleich viel wert und müssen je nach Situation abgewogen werden.	-0,488888889
Um den Gendergap zu verringern müssen frauentypische Berufe, z.B. in der Pflege und Erziehung, besser bezahlt werden.	-0,311111111
Um die strukturelle Benachteiligung von nicht-männlichen Personen zu bekämpfen, ist ein gesellschaftlicher Wandel nötig.	-0,355555556
Unangenehm lange Umarmungen oder Blicke oder Hinterherschauen stellen sexuelle Belästigungen dar oder sollten strafrechtlich relevant sein.	-0,222222222
Unter der Annahme das geschlechtergerechte Sprache sinnvoll oder notwendig ist, sind Binnen-I oder Genderstern die besten Lösungen.	-0,355555556
Väter müssen im gleichen Umfang wie Mütter Verantwortung für ihre Kinder übernehmen.	-0,644444444
Verlangen nach einem Weltmännertag ist dumm.	-0,422222222
Viele der Nachteile, die Frauen in Deutschland haben (GPG, versteckte Einstellungshürden), sind auf gesellschaftliche Erwartungshaltungen bei der Kinderbetreuung zurückzuführen.	-0,088888889
Viele Frauen fordern Gleichstellung, meinen aber damit eine Bevorteilung.	0,444444444
Vor der Justiz werden Männer und Frauen gleich behandelt.	-0,533333333
Wenn eine Frau sich freizügig kleidet, ist sie selber schuld, wenn sie begrapscht oder vergewaltigt wird.	0,977777778
Wenn Frauen frei entscheiden könnten würden sie zum grossen Teil keine Männerberufe wählen.	-0,022222222
Wenn Frauen nicht streng erzogen werden neigen sie zu asozialen und hysterischen Verhaltensweisen (sieht man an den 68ern). Männer haben dagegen eine natürliche Moral.	0,866666667
Wenn Frauen sich nur anstrengen, können sie genauso viel schaffen wie Männer.	-0,133333333
Wenn künstliche Gebärmuttern verfügbar sind, werden Frauen weitesgehend nutzlos sein.	0,822222222
Wie legen mehr Wert auf die Gesundheit von Frauen als auf die von Männern.	-0,177777778
Wir brauchen eine nicht-geschlechtliche Gesellschaft.	-0,266666667
Wir müssen weiter über Feminismus reden, um die Gleichstellung voran zu bringen.	-0,6
Wörter wie "Krankenschwester" stempeln das Berufsbild als "Frauenberuf" ab.	-0,022222222
Zu viele Frauen in Erziehungsberufen führen zu mangelnden männlichen Vorbildern und Bezugspersonen.	-0,355555556
Zwischen Männern und Frauen gibt es Unterschiede, die sich nicht auf den Fortpflanzungsapparat beziehen und nicht durch Sozialisierung erklärbar sind.	-0,266666667
